Mot,Ligne,Colonne,Page,identifiant,
CONCENTRER,2,8,c_verbes_-_2,concentrer@c_verbes_-_2,
CONVENIR,3,8,c_verbes_-_2,convenir@c_verbes_-_2,
PAGE SUIVANTE,4,8,c_verbes_-_2,page_suivante@c_verbes_-_2,
,,,page_suivante@c_verbes_-_2,c_verbes_-_3,
COUPER,1,1,c_verbes_-_3,couper@c_verbes_-_3,
CROIRE,2,1,c_verbes_-_3,croire@c_verbes_-_3,
COURIR,1,2,c_verbes_-_3,courir@c_verbes_-_3,
CROÎTRE,2,2,c_verbes_-_3,croître@c_verbes_-_3,
COÛTER,1,3,c_verbes_-_3,coûter@c_verbes_-_3,
CUIRE,2,3,c_verbes_-_3,cuire@c_verbes_-_3,
COUVRIR,1,4,c_verbes_-_3,couvrir@c_verbes_-_3,
CUISINER,2,4,c_verbes_-_3,cuisiner@c_verbes_-_3,
CRACHER,1,5,c_verbes_-_3,cracher@c_verbes_-_3,
CREUSER,1,6,c_verbes_-_3,creuser@c_verbes_-_3,
CRIER,1,7,c_verbes_-_3,crier@c_verbes_-_3,
PAGE PRÉCÉDENTE,4,7,c_verbes_-_3,page_précédente@c_verbes_-_3,
,,,page_précédente@c_verbes_-_3,c_verbes_-_2,
CRISTALLISER,1,8,c_verbes_-_3,cristalliser@c_verbes_-_3,
JE,1,1,h_verbes,je@h_verbes,
TU,2,1,h_verbes,tu@h_verbes,
ÇA,3,1,h_verbes,ça@h_verbes,
ÊTRE,1,2,h_verbes,être@h_verbes,
HACHER,2,2,h_verbes,hacher@h_verbes,
HURLER,3,2,h_verbes,hurler@h_verbes,
VOULOIR,1,3,h_verbes,vouloir@h_verbes,
HARCELER,2,3,h_verbes,harceler@h_verbes,
AIMER,1,4,h_verbes,aimer@h_verbes,
HENNIR,2,4,h_verbes,hennir@h_verbes,
FAIRE,1,5,h_verbes,faire@h_verbes,
HEURTER,2,5,h_verbes,heurter@h_verbes,
HABILLER,1,6,h_verbes,habiller@h_verbes,
HIBERNER,2,6,h_verbes,hiberner@h_verbes,
HABITER,1,7,h_verbes,habiter@h_verbes,
PAS,2,7,h_verbes,pas@h_verbes,
ENCORE,1,8,h_verbes,encore@h_verbes,
C’EST FINI,2,8,h_verbes,c’est_fini@h_verbes,
JE,1,1,p_verbes,je@p_verbes,
TU ,2,1,p_verbes,tu@p_verbes,
ÇA,3,1,p_verbes,ça@p_verbes,
PEINDRE,4,1,p_verbes,peindre@p_verbes,
ÊTRE,1,2,p_verbes,être@p_verbes,
PARDONNER,2,2,p_verbes,pardonner@p_verbes,
PASSER,3,2,p_verbes,passer@p_verbes,
PEINTURER,4,2,p_verbes,peinturer@p_verbes,
VOULOIR,1,3,p_verbes,vouloir@p_verbes,
PARLER,2,3,p_verbes,parler@p_verbes,
PATINER,3,3,p_verbes,patiner@p_verbes,
PELLETER,4,3,p_verbes,pelleter@p_verbes,
AIMER,1,4,p_verbes,aimer@p_verbes,
PARLER,2,4,p_verbes,parler@p_verbes,
PAUSER,3,4,p_verbes,pauser@p_verbes,
PENCHER,4,4,p_verbes,pencher@p_verbes,
FAIRE,1,5,p_verbes,faire@p_verbes,
PARTAGER,2,5,p_verbes,partager@p_verbes,
PAVANER,3,5,p_verbes,pavaner@p_verbes,
PENSER,4,5,p_verbes,penser@p_verbes,
PANIQUER,1,6,p_verbes,paniquer@p_verbes,
PARTIR,2,6,p_verbes,partir@p_verbes,
PAYER,3,6,p_verbes,payer@p_verbes,
PERDRE,4,6,p_verbes,perdre@p_verbes,
PARAÎTRE,1,7,p_verbes,paraître@p_verbes,
PAS,2,7,p_verbes,pas@p_verbes,
PÉDALER,3,7,p_verbes,pédaler@p_verbes,
PERFORER,4,7,p_verbes,perforer@p_verbes,
ENCORE,1,8,p_verbes,encore@p_verbes,
C’EST FINI,2,8,p_verbes,c’est_fini@p_verbes,
PEIGNER,3,8,p_verbes,peigner@p_verbes,
PAGE SUIVANTE,4,8,p_verbes,page_suivante@p_verbes,
,,,page_suivante@p_verbes,p_verbes_-_2,
PERSUADER,1,1,p_verbes_-_2,persuader@p_verbes_-_2,
PLANTER,2,1,p_verbes_-_2,planter@p_verbes_-_2,
POINTER,3,1,p_verbes_-_2,pointer@p_verbes_-_2,
POUSSER,4,1,p_verbes_-_2,pousser@p_verbes_-_2,
PÉTER,1,2,p_verbes_-_2,péter@p_verbes_-_2,
PLAQUER,2,2,p_verbes_-_2,plaquer@p_verbes_-_2,
POLIR,3,2,p_verbes_-_2,polir@p_verbes_-_2,
POUVOIR,4,2,p_verbes_-_2,pouvoir@p_verbes_-_2,
PHOTOGRAPHIER,1,3,p_verbes_-_2,photographier@p_verbes_-_2,
PLEURER,2,3,p_verbes_-_2,pleurer@p_verbes_-_2,
PORTER,3,3,p_verbes_-_2,porter@p_verbes_-_2,
PRÉDIRE,4,3,p_verbes_-_2,prédire@p_verbes_-_2,
PICOTER,1,4,p_verbes_-_2,picoter@p_verbes_-_2,
PLEURNICHER,2,4,p_verbes_-_2,pleurnicher@p_verbes_-_2,
POSER,3,4,p_verbes_-_2,poser@p_verbes_-_2,
PRENDRE,4,4,p_verbes_-_2,prendre@p_verbes_-_2,
