Mot,Ligne,Colonne,Page,identifiant,
PINCER,1,5,p_verbes_-_2,pincer@p_verbes_-_2,
PLEUVOIR,2,5,p_verbes_-_2,pleuvoir@p_verbes_-_2,
POSSÉDER,3,5,p_verbes_-_2,posséder@p_verbes_-_2,
PRESSER,4,5,p_verbes_-_2,presser@p_verbes_-_2,
PIQUER,1,6,p_verbes_-_2,piquer@p_verbes_-_2,
PLIER,2,6,p_verbes_-_2,plier@p_verbes_-_2,
POTINER,3,6,p_verbes_-_2,potiner@p_verbes_-_2,
PRÉTENDRE,4,6,p_verbes_-_2,prétendre@p_verbes_-_2,
PLAISANTER,1,7,p_verbes_-_2,plaisanter@p_verbes_-_2,
PLONGER,2,7,p_verbes_-_2,plonger@p_verbes_-_2,
POURRIR,3,7,p_verbes_-_2,pourrir@p_verbes_-_2,
PAGE PRÉCÉDENTE,4,7,p_verbes_-_2,page_précédente@p_verbes_-_2,
,,,page_précédente@p_verbes_-_2,p_verbes,
PLANIFIER,1,8,p_verbes_-_2,planifier@p_verbes_-_2,
POGNER,2,8,p_verbes_-_2,pogner@p_verbes_-_2,
POURSUIVRE,3,8,p_verbes_-_2,poursuivre@p_verbes_-_2,
PAGE SUIVANTE,4,8,p_verbes_-_2,page_suivante@p_verbes_-_2,
,,,page_suivante@p_verbes_-_2,p_verbes_-_3,
PRÊTER,1,1,p_verbes_-_3,prêter@p_verbes_-_3,
PRIER,1,2,p_verbes_-_3,prier@p_verbes_-_3,
PRODUIRE,1,3,p_verbes_-_3,produire@p_verbes_-_3,
PROMENER,1,4,p_verbes_-_3,promener@p_verbes_-_3,
PROMETTRE,1,5,p_verbes_-_3,promettre@p_verbes_-_3,
PROTÉGER,1,6,p_verbes_-_3,protéger@p_verbes_-_3,
PROTESTER,1,7,p_verbes_-_3,protester@p_verbes_-_3,
PAGE PRÉCÉDENTE,4,7,p_verbes_-_3,page_précédente@p_verbes_-_3,
,,,page_précédente@p_verbes_-_3,p_verbes_-_2,
PROVOQUER,1,8,p_verbes_-_3,provoquer@p_verbes_-_3,
JE,1,1,d_verbes,je@d_verbes,
TU,2,1,d_verbes,tu@d_verbes,
ÇA,3,1,d_verbes,ça@d_verbes,
DÉDUIRE,4,1,d_verbes,déduire@d_verbes,
ÊTRE,1,2,d_verbes,être@d_verbes,
DÉBOUCLER,2,2,d_verbes,déboucler@d_verbes,
DÉCHIRER,3,2,d_verbes,déchirer@d_verbes,
DÉFAIRE,4,2,d_verbes,défaire@d_verbes,
VOULOIR,1,3,d_verbes,vouloir@d_verbes,
DÉBOUTONNER,2,3,d_verbes,déboutonner@d_verbes,
DÉCIDER,3,3,d_verbes,décider@d_verbes,
DÉFENDRE,4,3,d_verbes,défendre@d_verbes,
AIMER,1,4,d_verbes,aimer@d_verbes,
DÉBRANCHER,2,4,d_verbes,débrancher@d_verbes,
DÉCOLLER,3,4,d_verbes,décoller@d_verbes,
DÉFONCER,4,4,d_verbes,défoncer@d_verbes,
FAIRE,1,5,d_verbes,faire@d_verbes,
DÉCHARGER,2,5,d_verbes,décharger@d_verbes,
DÉCONNECTER,3,5,d_verbes,déconnecter@d_verbes,
DÉFORMER,4,5,d_verbes,déformer@d_verbes,
DANSER,1,6,d_verbes,danser@d_verbes,
DÉCHIQUETER,2,6,d_verbes,déchiqueter@d_verbes,
DÉCORER,3,6,d_verbes,décorer@d_verbes,
DÉGUISER,4,6,d_verbes,déguiser@d_verbes,
DÉBALLER,1,7,d_verbes,déballer@d_verbes,
PAS,2,7,d_verbes,pas@d_verbes,
DÉCOUPER,3,7,d_verbes,découper@d_verbes,
DÉJEUNER,4,7,d_verbes,déjeuner@d_verbes,
ENCORE,1,8,d_verbes,encore@d_verbes,
C’EST FINI,2,8,d_verbes,c’est_fini@d_verbes,
DÉCRIRE,3,8,d_verbes,décrire@d_verbes,
PAGE SUIVANTE,4,8,d_verbes,page_suivante@d_verbes,
,,,page_suivante@d_verbes,d_verbes_-_2,
DÉLIER,1,1,d_verbes_-_2,délier@d_verbes_-_2,
DÉPASSER,2,1,d_verbes_-_2,dépasser@d_verbes_-_2,
DÉSHABILLER,3,1,d_verbes_-_2,déshabiller@d_verbes_-_2,
DEVENIR,4,1,d_verbes_-_2,devenir@d_verbes_-_2,
DEMANDER,1,2,d_verbes_-_2,demander@d_verbes_-_2,
DÉPÊCHER,2,2,d_verbes_-_2,dépêcher@d_verbes_-_2,
DÉSHYDRATER,3,2,d_verbes_-_2,déshydrater@d_verbes_-_2,
DÉVERROUILLER,4,2,d_verbes_-_2,déverrouiller@d_verbes_-_2,
DÉMANGER,1,3,d_verbes_-_2,démanger@d_verbes_-_2,
DÉPENDRE,2,3,d_verbes_-_2,dépendre@d_verbes_-_2,
DÉSOBÉIR,3,3,d_verbes_-_2,désobéir@d_verbes_-_2,
DEVINER,4,3,d_verbes_-_2,deviner@d_verbes_-_2,
DÉMÉNAGER,1,4,d_verbes_-_2,déménager@d_verbes_-_2,
DÉPLACER,2,4,d_verbes_-_2,déplacer@d_verbes_-_2,
DESSERRER,3,4,d_verbes_-_2,desserrer@d_verbes_-_2,
DEVOIR,4,4,d_verbes_-_2,devoir@d_verbes_-_2,
DÉMISSIONNER,1,5,d_verbes_-_2,démissionner@d_verbes_-_2,
DÉPLIER,2,5,d_verbes_-_2,déplier@d_verbes_-_2,
DESSINER,3,5,d_verbes_-_2,dessiner@d_verbes_-_2,
DIMINUER,4,5,d_verbes_-_2,diminuer@d_verbes_-_2,
DÉNONCER,1,6,d_verbes_-_2,dénoncer@d_verbes_-_2,
DÉPOSER,2,6,d_verbes_-_2,déposer@d_verbes_-_2,
DÉTACHER,3,6,d_verbes_-_2,détacher@d_verbes_-_2,
DINNER,4,6,d_verbes_-_2,dinner@d_verbes_-_2,
DÉNOUER,1,7,d_verbes_-_2,dénouer@d_verbes_-_2,
DÉRANGER,2,7,d_verbes_-_2,déranger@d_verbes_-_2,
DÉTESTER,3,7,d_verbes_-_2,détester@d_verbes_-_2,
PAGE PRÉCÉDENTE,4,7,d_verbes_-_2,page_précédente@d_verbes_-_2,
,,,page_précédente@d_verbes_-_2,d_verbes,
DÉPANNER,1,8,d_verbes_-_2,dépanner@d_verbes_-_2,
DESCENDRE,2,8,d_verbes_-_2,descendre@d_verbes_-_2,
DÉTRUIRE,3,8,d_verbes_-_2,détruire@d_verbes_-_2,
PAGE SUIVANTE,4,8,d_verbes_-_2,page_suivante@d_verbes_-_2,
,,,page_suivante@d_verbes_-_2,d_verbes_-_3,
DIRE,1,1,d_verbes_-_3,dire@d_verbes_-_3,
DONNER,2,1,d_verbes_-_3,donner@d_verbes_-_3,
DISCUTER,1,2,d_verbes_-_3,discuter@d_verbes_-_3,
DORMIR,2,2,d_verbes_-_3,dormir@d_verbes_-_3,
DISPARAÎTRE,1,3,d_verbes_-_3,disparaître@d_verbes_-_3,
DRIBBLER,2,3,d_verbes_-_3,dribbler@d_verbes_-_3,
DISPUTER,1,4,d_verbes_-_3,disputer@d_verbes_-_3,
DUPER,2,4,d_verbes_-_3,duper@d_verbes_-_3,
DISSOUDRE,1,5,d_verbes_-_3,dissoudre@d_verbes_-_3,
DISTRIBUER,1,6,d_verbes_-_3,distribuer@d_verbes_-_3,
DIVISER,1,7,d_verbes_-_3,diviser@d_verbes_-_3,
PAGE PRÉCÉDENTE,4,7,d_verbes_-_3,page_précédente@d_verbes_-_3,
,,,page_précédente@d_verbes_-_3,d_verbes_-_2,
DIVORCER,1,8,d_verbes_-_3,divorcer@d_verbes_-_3,
JE,1,1,i_verbes,je@i_verbes,
TU,2,1,i_verbes,tu@i_verbes,
ÇA,3,1,i_verbes,ça@i_verbes,
INTIMIDER,4,1,i_verbes,intimider@i_verbes,
ÊTRE,1,2,i_verbes,être@i_verbes,
IL Y A ,2,2,i_verbes,il@y@a@i_verbes,
INCLURE,3,2,i_verbes,inclure@i_verbes,
INVENTER,4,2,i_verbes,inventer@i_verbes,
VOULOIR,1,3,i_verbes,vouloir@i_verbes,
IMAGINER,2,3,i_verbes,imaginer@i_verbes,
INSÉRER,3,3,i_verbes,insérer@i_verbes,
INVITER,4,3,i_verbes,inviter@i_verbes,
AIMER,1,4,i_verbes,aimer@i_verbes,
IMMIGRER,2,4,i_verbes,immigrer@i_verbes,
INSULTER,3,4,i_verbes,insulter@i_verbes,
FAIRE,1,5,i_verbes,faire@i_verbes,
IMPACTER,2,5,i_verbes,impacter@i_verbes,
INTERDIRE,3,5,i_verbes,interdire@i_verbes,
IDENTIFIER,1,6,i_verbes,identifier@i_verbes,
IMPRIMER,2,6,i_verbes,imprimer@i_verbes,
INTERROGER,3,6,i_verbes,interroger@i_verbes,
IGNORER,1,7,i_verbes,ignorer@i_verbes,
PAS,2,7,i_verbes,pas@i_verbes,
INTERROMPRE,3,7,i_verbes,interrompre@i_verbes,
ENCORE,1,8,i_verbes,encore@i_verbes,
C’EST FINI,2,8,i_verbes,c’est_fini@i_verbes,
INTERVIEWER,3,8,i_verbes,interviewer@i_verbes,
JE,1,1,q_verbes,je@q_verbes,
TU ,2,1,q_verbes,tu@q_verbes,
ÇA,3,1,q_verbes,ça@q_verbes,
ÊTRE,1,2,q_verbes,être@q_verbes,
VOULOIR,1,3,q_verbes,vouloir@q_verbes,
AIMER,1,4,q_verbes,aimer@q_verbes,
FAIRE,1,5,q_verbes,faire@q_verbes,
QUITTER,1,6,q_verbes,quitter@q_verbes,
PAS,2,7,q_verbes,pas@q_verbes,
ENCORE,1,8,q_verbes,encore@q_verbes,
C’EST FINI,2,8,q_verbes,c’est_fini@q_verbes,
JE,1,1,e_verbes,je@e_verbes,
TU ,2,1,e_verbes,tu@e_verbes,
ÇA,3,1,e_verbes,ça@e_verbes,
EMBAUCHER,4,1,e_verbes,embaucher@e_verbes,
ÊTRE,1,2,e_verbes,être@e_verbes,
ÉCLABOUSSER,2,2,e_verbes,éclabousser@e_verbes,
ÉCRIRE,3,2,e_verbes,écrire@e_verbes,
EMBÊTER,4,2,e_verbes,embêter@e_verbes,
VOULOIR,1,3,e_verbes,vouloir@e_verbes,
ÉCLATER,2,3,e_verbes,éclater@e_verbes,
EFFACER,3,3,e_verbes,effacer@e_verbes,
EMBOUTIR,4,3,e_verbes,emboutir@e_verbes,
AIMER,1,4,e_verbes,aimer@e_verbes,
ÉCONOMISER,2,4,e_verbes,économiser@e_verbes,
ÉGAL,3,4,e_verbes,égal@e_verbes,
EMBRASSER,4,4,e_verbes,embrasser@e_verbes,
FAIRE,1,5,e_verbes,faire@e_verbes,
ÉCOUTER,2,5,e_verbes,écouter@e_verbes,
ÉGOUTTER,3,5,e_verbes,égoutter@e_verbes,
ÉMIETTER,4,5,e_verbes,émietter@e_verbes,
ÉCHANGER,1,6,e_verbes,échanger@e_verbes,
ÉCRASER,2,6,e_verbes,écraser@e_verbes,
ÉJECTER,3,6,e_verbes,éjecter@e_verbes,
EMPRUNTER,4,6,e_verbes,emprunter@e_verbes,
ÉCHAPPER,1,7,e_verbes,échapper@e_verbes,
PAS,2,7,e_verbes,pas@e_verbes,
ÉLEVER,3,7,e_verbes,élever@e_verbes,
ENCAISSER,4,7,e_verbes,encaisser@e_verbes,
ENCORE,1,8,e_verbes,encore@e_verbes,
C’EST FINI,2,8,e_verbes,c’est_fini@e_verbes,
EMBALLER,3,8,e_verbes,emballer@e_verbes,
PAGE SUIVANTE,4,8,e_verbes,page_suivante@e_verbes,
,,,page_suivante@e_verbes,e_verbes_-_2,
ENCOURAGER,1,1,e_verbes_-_2,encourager@e_verbes_-_2,
ENTRAÎNER,2,1,e_verbes_-_2,entraîner@e_verbes_-_2,
ESPÉRER,3,1,e_verbes_-_2,espérer@e_verbes_-_2,
ÉTIRER,4,1,e_verbes_-_2,étirer@e_verbes_-_2,
ENDOSSER,1,2,e_verbes_-_2,endosser@e_verbes_-_2,
ENTRER,2,2,e_verbes_-_2,entrer@e_verbes_-_2,
ESSAYER,3,2,e_verbes_-_2,essayer@e_verbes_-_2,
ÉTOUFFER,4,2,e_verbes_-_2,étouffer@e_verbes_-_2,
ENFLAMMER,1,3,e_verbes_-_2,enflammer@e_verbes_-_2,
ENVOYER,2,3,e_verbes_-_2,envoyer@e_verbes_-_2,
ESSUYER,3,3,e_verbes_-_2,essuyer@e_verbes_-_2,
ÉTRANGLER,4,3,e_verbes_-_2,étrangler@e_verbes_-_2,
ENLEVER,1,4,e_verbes_-_2,enlever@e_verbes_-_2,
ÉPARPILLER,2,4,e_verbes_-_2,éparpiller@e_verbes_-_2,
ESTIMER,3,4,e_verbes_-_2,estimer@e_verbes_-_2,
ÊTRE,4,4,e_verbes_-_2,être@e_verbes_-_2,
ENREGISTRER,1,5,e_verbes_-_2,enregistrer@e_verbes_-_2,
ÉPELER,2,5,e_verbes_-_2,épeler@e_verbes_-_2,
ÉTALER,3,5,e_verbes_-_2,étaler@e_verbes_-_2,
ÉTUDIER,4,5,e_verbes_-_2,étudier@e_verbes_-_2,
ENSEIGNER,1,6,e_verbes_-_2,enseigner@e_verbes_-_2,
ÉPOUSER,2,6,e_verbes_-_2,épouser@e_verbes_-_2,
ÉTEINDRE,3,6,e_verbes_-_2,éteindre@e_verbes_-_2,
ÉVITER,4,6,e_verbes_-_2,éviter@e_verbes_-_2,
ENTENDRE,1,7,e_verbes_-_2,entendre@e_verbes_-_2,
ÉPOUSSETER,2,7,e_verbes_-_2,épousseter@e_verbes_-_2,
ÉTENDRE,3,7,e_verbes_-_2,étendre@e_verbes_-_2,
PAGE PRÉCÉDENTE,4,7,e_verbes_-_2,page_précédente@e_verbes_-_2,
,,,page_précédente@e_verbes_-_2,e_verbes_-_2,
ENTERRER,1,8,e_verbes_-_2,enterrer@e_verbes_-_2,
ÉQUILIBRER,2,8,e_verbes_-_2,équilibrer@e_verbes_-_2,
ÉTERNUER,3,8,e_verbes_-_2,éternuer@e_verbes_-_2,
PAGE SUIVANTE,4,8,e_verbes_-_2,page_suivante@e_verbes_-_2,
,,,page_suivante@e_verbes_-_2,e_verbes_-_3,
EXAGÉRER,1,1,e_verbes_-_3,exagérer@e_verbes_-_3,
EXERCER,2,2,e_verbes_-_3,exercer@e_verbes_-_3,
EXPIRER,3,3,e_verbes_-_3,expirer@e_verbes_-_3,
EXPLIQUER,4,4,e_verbes_-_3,expliquer@e_verbes_-_3,
EXPLORER,5,5,e_verbes_-_3,explorer@e_verbes_-_3,
EXPLOSER,6,6,e_verbes_-_3,exploser@e_verbes_-_3,
PAGE PRÉCÉDENTE,7,7,e_verbes_-_3,page_précédente@e_verbes_-_3,
,,,page_précédente@e_verbes_-_3,e_verbes_-_2,
JE,1,1,j_verbes,je@j_verbes,
TU,2,1,j_verbes,tu@j_verbes,
ÇA,3,1,j_verbes,ça@j_verbes,
ÊTRE,1,2,j_verbes,être@j_verbes,
JEÛNER,2,2,j_verbes,jeûner@j_verbes,
JURER,3,2,j_verbes,jurer@j_verbes,
VOULOIR,1,3,j_verbes,vouloir@j_verbes,
JOINDRE,2,3,j_verbes,joindre@j_verbes,
AIMER,1,4,j_verbes,aimer@j_verbes,
JONCHER,2,4,j_verbes,joncher@j_verbes,
FAIRE,1,5,j_verbes,faire@j_verbes,
JONGLER,2,5,j_verbes,jongler@j_verbes,
JASER,1,6,j_verbes,jaser@j_verbes,
JOUER,2,6,j_verbes,jouer@j_verbes,
JETER,1,7,j_verbes,jeter@j_verbes,
PAS,2,7,j_verbes,pas@j_verbes,
ENCORE,1,8,j_verbes,encore@j_verbes,
C’EST FINI,2,8,j_verbes,c’est_fini@j_verbes,
JE,1,1,r_verbes,je@r_verbes,
TU ,2,1,r_verbes,tu@r_verbes,
ÇA ,3,1,r_verbes,ça@r_verbes,
REBONDIR,4,1,r_verbes,rebondir@r_verbes,
ÊTRE,1,2,r_verbes,être@r_verbes,
RACONTER,2,2,r_verbes,raconter@r_verbes,
RANGER,3,2,r_verbes,ranger@r_verbes,
RÉCHAUFFER,4,2,r_verbes,réchauffer@r_verbes,
VOULOIR,1,3,r_verbes,vouloir@r_verbes,
RAFRAÎCHIR,2,3,r_verbes,rafraîchir@r_verbes,
RAPPORTER,3,3,r_verbes,rapporter@r_verbes,
RECHERCHER,4,3,r_verbes,rechercher@r_verbes,
AIMER,1,4,r_verbes,aimer@r_verbes,
RAMASSER,2,4,r_verbes,ramasser@r_verbes,
RASER,3,4,r_verbes,raser@r_verbes,
RECOMMENCER,4,4,r_verbes,recommencer@r_verbes,
FAIRE,1,5,r_verbes,faire@r_verbes,
RAMER,2,5,r_verbes,ramer@r_verbes,
RASSEMBLER,3,5,r_verbes,rassembler@r_verbes,
RECONSTRUIRE,4,5,r_verbes,reconstruire@r_verbes,
RACCROCHER,1,6,r_verbes,raccrocher@r_verbes,
RAMPER,2,6,r_verbes,ramper@r_verbes,
RATER,3,6,r_verbes,rater@r_verbes,
RECULER,4,6,r_verbes,reculer@r_verbes,
RACLER,1,7,r_verbes,racler@r_verbes,
PAS,2,7,r_verbes,pas@r_verbes,
RATER LE BUS,3,7,r_verbes,rater@le@bus@r_verbes,
RÉCURER,4,7,r_verbes,récurer@r_verbes,
ENCORE,1,8,r_verbes,encore@r_verbes,
C’EST FINI,2,8,r_verbes,c’est_fini@r_verbes,
RATISSER,3,8,r_verbes,ratisser@r_verbes,
PAGE SUIVANTE,4,8,r_verbes,page_suivante@r_verbes,
,,,page_suivante@r_verbes,r_verbes_-_2,
RECYCLER,1,1,r_verbes_-_2,recycler@r_verbes_-_2,
REJETER,2,1,r_verbes_-_2,rejeter@r_verbes_-_2,
REMUER,3,1,r_verbes_-_2,remuer@r_verbes_-_2,
REPRÉSENTER,4,1,r_verbes_-_2,représenter@r_verbes_-_2,
REDÉMARRER,1,2,r_verbes_-_2,redémarrer@r_verbes_-_2,
REJOINDRE,2,2,r_verbes_-_2,rejoindre@r_verbes_-_2,
RENCONTRER,3,2,r_verbes_-_2,rencontrer@r_verbes_-_2,
REPRODUIRE,4,2,r_verbes_-_2,reproduire@r_verbes_-_2,
RÉFLÉCHIR,1,3,r_verbes_-_2,réfléchir@r_verbes_-_2,
RELEVER,2,3,r_verbes_-_2,relever@r_verbes_-_2,
RENIFLER,3,3,r_verbes_-_2,renifler@r_verbes_-_2,
RÉSOUDRE,4,3,r_verbes_-_2,résoudre@r_verbes_-_2,
REFROIDIR,1,4,r_verbes_-_2,refroidir@r_verbes_-_2,
REMBOBINER,2,4,r_verbes_-_2,rembobiner@r_verbes_-_2,
RENVERSER,3,4,r_verbes_-_2,renverser@r_verbes_-_2,
RESPIRER,4,4,r_verbes_-_2,respirer@r_verbes_-_2,
REFUSER,1,5,r_verbes_-_2,refuser@r_verbes_-_2,
REMERCIER,2,5,r_verbes_-_2,remercier@r_verbes_-_2,
RÉPARER,3,5,r_verbes_-_2,réparer@r_verbes_-_2,
RESSENTIR,4,5,r_verbes_-_2,ressentir@r_verbes_-_2,
REGARDER,1,6,r_verbes_-_2,regarder@r_verbes_-_2,
REMODELER,2,6,r_verbes_-_2,remodeler@r_verbes_-_2,
RÉPONDRE,3,6,r_verbes_-_2,répondre@r_verbes_-_2,
RESTER,4,6,r_verbes_-_2,rester@r_verbes_-_2,
RÉGLER,1,7,r_verbes_-_2,régler@r_verbes_-_2,
REMPLACER,2,7,r_verbes_-_2,remplacer@r_verbes_-_2,
REPOSER,3,7,r_verbes_-_2,reposer@r_verbes_-_2,
PAGE PRÉCÉDENTE,4,7,r_verbes_-_2,page_précédente@r_verbes_-_2,
,,,page_précédente@r_verbes_-_2,r_verbes,
RÉGNER,1,8,r_verbes_-_2,régner@r_verbes_-_2,
REMPLIR,2,8,r_verbes_-_2,remplir@r_verbes_-_2,
REPOSITIONNER,3,8,r_verbes_-_2,repositionner@r_verbes_-_2,
PAGE SUIVANTE,4,8,r_verbes_-_2,page_suivante@r_verbes_-_2,
,,,page_suivante@r_verbes_-_2,r_verbes_-_3,
RETENIR ,1,1,r_verbes_-_3,retenir@r_verbes_-_3,
RONFLER,2,1,r_verbes_-_3,ronfler@r_verbes_-_3,
RETOURNER,1,2,r_verbes_-_3,retourner@r_verbes_-_3,
ROTER,2,2,r_verbes_-_3,roter@r_verbes_-_3,
RÉTRÉCIR,1,3,r_verbes_-_3,rétrécir@r_verbes_-_3,
ROULER,2,3,r_verbes_-_3,rouler@r_verbes_-_3,
RÉUTILISER,1,4,r_verbes_-_3,réutiliser@r_verbes_-_3,
ROULER,2,4,r_verbes_-_3,rouler@r_verbes_-_3,
RÉVEILLER,1,5,r_verbes_-_3,réveiller@r_verbes_-_3,
RUGIR,2,5,r_verbes_-_3,rugir@r_verbes_-_3,
RÊVER,1,6,r_verbes_-_3,rêver@r_verbes_-_3,
RINCER,1,7,r_verbes_-_3,rincer@r_verbes_-_3,
PAGE PRÉCÉDENTE,4,7,r_verbes_-_3,page_précédente@r_verbes_-_3,
,,,page_précédente@r_verbes_-_3,r_verbes_-_2,
RIRE,1,8,r_verbes_-_3,rire@r_verbes_-_3,
JE,1,1,f_verbes,je@f_verbes,
TU,2,1,f_verbes,tu@f_verbes,
ÇA,3,1,f_verbes,ça@f_verbes,
FREINER,4,1,f_verbes,freiner@f_verbes,
ÊTRE,1,2,f_verbes,être@f_verbes,
FAUT,2,2,f_verbes,faut@f_verbes,
FLATTER,3,2,f_verbes,flatter@f_verbes,
FRÉTILLER,4,2,f_verbes,frétiller@f_verbes,
VOULOIR,1,3,f_verbes,vouloir@f_verbes,
FERMER,2,3,f_verbes,fermer@f_verbes,
FLOTTER,3,3,f_verbes,flotter@f_verbes,
FRIRE,4,3,f_verbes,frire@f_verbes,
AIMER,1,4,f_verbes,aimer@f_verbes,
FÊTER,2,4,f_verbes,fêter@f_verbes,
FONDRE,3,4,f_verbes,fondre@f_verbes,
FRISER,4,4,f_verbes,friser@f_verbes,
FAIRE,1,5,f_verbes,faire@f_verbes,
FINIR,2,5,f_verbes,finir@f_verbes,
FORMER,3,5,f_verbes,former@f_verbes,
FROISSER,4,5,f_verbes,froisser@f_verbes,
FÂCHER,1,6,f_verbes,fâcher@f_verbes,
FLÂNER,2,6,f_verbes,flâner@f_verbes,
FOUDROYER,3,6,f_verbes,foudroyer@f_verbes,
FROTTER,4,6,f_verbes,frotter@f_verbes,
FAIRE,1,7,f_verbes,faire@f_verbes,
PAS,2,7,f_verbes,pas@f_verbes,
FOURMILLER,3,7,f_verbes,fourmiller@f_verbes,
FUIR,4,7,f_verbes,fuir@f_verbes,
ENCORE,1,8,f_verbes,encore@f_verbes,
C’EST FINI,2,8,f_verbes,c’est_fini@f_verbes,
FRAPPER,3,8,f_verbes,frapper@f_verbes,
FUMER,4,8,f_verbes,fumer@f_verbes,
JE,1,1,k_verbes,je@k_verbes,
TU,2,1,k_verbes,tu@k_verbes,
ÇA,3,1,k_verbes,ça@k_verbes,
ÊTRE,1,2,k_verbes,être@k_verbes,
VOULOIR,1,3,k_verbes,vouloir@k_verbes,
AIMER,1,4,k_verbes,aimer@k_verbes,
FAIRE,1,5,k_verbes,faire@k_verbes,
KIDNAPPER,1,6,k_verbes,kidnapper@k_verbes,
PAS,2,7,k_verbes,pas@k_verbes,
ENCORE,1,8,k_verbes,encore@k_verbes,
C’EST FINI ,2,8,k_verbes,c’est_fini@k_verbes,
JE,1,1,s_verbes,je@s_verbes,
TU ,2,1,s_verbes,tu@s_verbes,
ÇA,3,1,s_verbes,ça@s_verbes,
SE BALANCER,4,1,s_verbes,se@balancer@s_verbes,
ÊTRE,1,2,s_verbes,être@s_verbes,
S’ENVOLER,2,2,s_verbes,s’envoler@s_verbes,
SAUPOUDRER,3,2,s_verbes,saupoudrer@s_verbes,
SE COUCHER,4,2,s_verbes,se@coucher@s_verbes,
VOULOIR,1,3,s_verbes,vouloir@s_verbes,
S’ÉVANOUIR,2,3,s_verbes,s’évanouir@s_verbes,
SAUTER,3,3,s_verbes,sauter@s_verbes,
SE DANDINER,4,3,s_verbes,se@dandiner@s_verbes,
AIMER,1,4,s_verbes,aimer@s_verbes,
SAISIR,2,4,s_verbes,saisir@s_verbes,
SAUTILLER,3,4,s_verbes,sautiller@s_verbes,
SE DÉGUISER,4,4,s_verbes,se@déguiser@s_verbes,
FAIRE,1,5,s_verbes,faire@s_verbes,
SALUER,2,5,s_verbes,saluer@s_verbes,
SAVOIR,3,5,s_verbes,savoir@s_verbes,
SE DÉPÊCHER,4,5,s_verbes,se@dépêcher@s_verbes,
S’ASSEOIR,1,6,s_verbes,s’asseoir@s_verbes,
SAPER,2,6,s_verbes,saper@s_verbes,
SCANNER,3,6,s_verbes,scanner@s_verbes,
SE DISPUTER,4,6,s_verbes,se@disputer@s_verbes,
S’ATTENDRE,1,7,s_verbes,s’attendre@s_verbes,
PAS,2,7,s_verbes,pas@s_verbes,
SCOTCHER,3,7,s_verbes,scotcher@s_verbes,
SE GARER,4,7,s_verbes,se@garer@s_verbes,
ENCORE ,1,8,s_verbes,encore@s_verbes,
C’EST FINI,2,8,s_verbes,c’est_fini@s_verbes,
SE BALADER,3,8,s_verbes,se@balader@s_verbes,
PAGE SUIVANTE,4,8,s_verbes,page_suivante@s_verbes,
,,,page_suivante@s_verbes,s_verbes_-_2,
SE LEVER,1,1,s_verbes_-_2,se@lever@s_verbes_-_2,
SE SOUVENIR,2,1,s_verbes_-_2,se@souvenir@s_verbes_-_2,
SÉPARER,3,1,s_verbes_-_2,séparer@s_verbes_-_2,
SONNER,4,1,s_verbes_-_2,sonner@s_verbes_-_2,
SE MOQUER,1,2,s_verbes_-_2,se@moquer@s_verbes_-_2,
SE TORTILLER,2,2,s_verbes_-_2,se@tortiller@s_verbes_-_2,
SERRER,3,2,s_verbes_-_2,serrer@s_verbes_-_2,
SORTIR,4,2,s_verbes_-_2,sortir@s_verbes_-_2,
SE NOYER,1,3,s_verbes_-_2,se@noyer@s_verbes_-_2,
SE VANTER,2,3,s_verbes_-_2,se@vanter@s_verbes_-_2,
SERVIR,3,3,s_verbes_-_2,servir@s_verbes_-_2,
SOUFFLER,4,3,s_verbes_-_2,souffler@s_verbes_-_2,
SE PRÉPARER,1,4,s_verbes_-_2,se@préparer@s_verbes_-_2,
SÉCHER,2,4,s_verbes_-_2,sécher@s_verbes_-_2,
SIFFLER,3,4,s_verbes_-_2,siffler@s_verbes_-_2,
SOUHAITER,4,4,s_verbes_-_2,souhaiter@s_verbes_-_2,
SE PRODUIRE,1,5,s_verbes_-_2,se@produire@s_verbes_-_2,
SECOUER,2,5,s_verbes_-_2,secouer@s_verbes_-_2,
SIGNER,3,5,s_verbes_-_2,signer@s_verbes_-_2,
SOULAGER,4,5,s_verbes_-_2,soulager@s_verbes_-_2,
SE PROMENER,1,6,s_verbes_-_2,se@promener@s_verbes_-_2,
SECOURIR,2,6,s_verbes_-_2,secourir@s_verbes_-_2,
SIGNIFIER,3,6,s_verbes_-_2,signifier@s_verbes_-_2,
SOULEVER,4,6,s_verbes_-_2,soulever@s_verbes_-_2,
SE RASER,1,7,s_verbes_-_2,se@raser@s_verbes_-_2,
SEMBLER,2,7,s_verbes_-_2,sembler@s_verbes_-_2,
SOIGNER,3,7,s_verbes_-_2,soigner@s_verbes_-_2,
PAGE PRÉCÉDENTE,4,7,s_verbes_-_2,page_précédente@s_verbes_-_2,
,,,page_précédente@s_verbes_-_2,s_verbes,
SE SOUCIER,1,8,s_verbes_-_2,se@soucier@s_verbes_-_2,
SENTIR,2,8,s_verbes_-_2,sentir@s_verbes_-_2,
SOMMEILLER,3,8,s_verbes_-_2,sommeiller@s_verbes_-_2,
PAGE SUIVANTE,4,8,s_verbes_-_2,page_suivante@s_verbes_-_2,
,,,page_suivante@s_verbes_-_2,s_verbes_-_3,
SOUPER,1,1,s_verbes_-_3,souper@s_verbes_-_3,
